names,imag+zpve,u298,h298,g298,gap,dipX,dipY,dipZ,dipTotal,core,Tetrahedral_count,Unconnected_triangles_count,Triangles_with_1_shared_vertex_count,Triangles_with_2_shared_vertices_count
AuTM-89.xyz.1315688.hpc-mn1.out , 23.21      49.29      0.158092397202 ,-41.19263984,-41.01899559,-41.07822469,2.847307986,-0.6315,5.0078,2.9027,14.8,1,0,0,0,0
AuTM-90.xyz.1315689.hpc-mn1.out , 19.66      21.99      0.300134406274 ,-58.14064727,-57.81901503,-57.88964648,2.636881896,9.8728,3.3371,19.373,55.914,1,0,0,0,0
AuTM-91.xyz.1315690.hpc-mn1.out , 36.48      49.05      0.172107008702 ,-46.88952824,-46.70048116,-46.76266492,2.32571314,17.9636,7.2453,8.8918,54.173,1,0,0,0,0
AuTM-92.xyz.1315691.hpc-mn1.out , 7.18       8.57       0.746225297150 ,-116.2045329,-115.4046877,-115.5431846,2.971734281,3.193,-3.5789,1.5381,12.802,1,0,0,0,0
AuTM-93.xyz.1315692.hpc-mn1.out , 7.57       11.31      0.804543628052 ,-121.4404618,-120.5851887,-120.7157961,1.895450495,0.1791,2.3217,-3.6122,10.924,1,0,0,0,0
AuTM-94.xyz.1315693.hpc-mn1.out , 12.31      23.79      0.436735633883 ,-82.65194342,-82.18489195,-82.27494117,1.866855859,-5.4551,-1.2647,-0.2448,14.247,1,0,0,0,0
AuTM-95.xyz.1315694.hpc-mn1.out , 23.93      34.66      0.211673498938 ,-59.71791577,-59.48465046,-59.55622949,2.18560737,0.0303,4.8753,-2.1574,13.551,1,0,0,0,0
AuTM-96.xyz.1315695.hpc-mn1.out , 7.60       9.07       1.116183622545 ,-200.6252068,-199.4354888,-199.6126574,2.152706266,-0.4479,-2.3242,2.0542,7.966,1,0,0,0,0
AuTM-97.xyz.1315696.hpc-mn1.out , 10.86      12.03      0.610326051052 ,-95.39687427,-94.75234899,-94.84786952,2.091265733,-1.0399,0.4257,4.9071,12.795,1,0,0,0,0
AuTM-98.xyz.1315697.hpc-mn1.out , -6.49      14.13      0.483575217251 ,-82.62118562,-82.1016024,-82.20326045,3.00335112,1.9958,3.3387,-0.7645,10.076,1,0,0,0,0
AuTM-99.xyz.1315698.hpc-mn1.out , 4.74       12.82      0.738670924510 ,-137.9988427,-137.2045438,-137.3436962,1.33594083,0.9574,-5.3101,1.8433,14.493,1,0,0,0,0
AuTM-100.xyz.1315699.hpc-mn1.out , 5.17       10.86      0.302752291153 ,-71.20279982,-70.87391322,-70.95598805,1.811258879,-0.3967,-3.0828,0.6006,8.046,1,0,0,0,0
AuTM-101.xyz.1315700.hpc-mn1.out , 34.75      42.23      0.242313548279 ,-42.28078639,-42.02260842,-42.08186562,3.041701462,-4.5614,-1.8216,-0.207,12.495,1,0,0,0,0
AuTM-102.xyz.1315701.hpc-mn1.out , 12.89      26.40      0.336771739843 ,-60.2712624,-59.91132231,-59.98652782,2.881940965,-2.2361,1.5181,3.1612,10.571,1,0,0,0,0
AuTM-103.xyz.1315702.hpc-mn1.out , 12.42      22.01      0.336873742468 ,-79.79349895,-79.42893281,-79.512966,2.578113152,-2.242,-1.4483,-2.7109,9.67,1,0,0,0,0
AuTM-104.xyz.1315703.hpc-mn1.out , 12.65      20.87      0.389036620306 ,-85.67472817,-85.25415962,-85.34592823,2.47623796,14.3867,5.9722,5.7244,42.182,1,0,0,0,0
AuTM-105.xyz.1315704.hpc-mn1.out , 38.31      49.42      0.256745121329 ,-72.6866901,-72.40724029,-72.48006539,2.675920949,-2.5882,-2.6413,-3.2066,12.441,1,0,0,0,0
AuTM-106.xyz.1315705.hpc-mn1.out , -10.74     5.54       0.328416051807 ,-90.91495986,-90.55604786,-90.64817782,2.197649802,2.2701,-4.2385,2.7398,14.066,1,0,0,0,0
AuTM-107.xyz.1315706.hpc-mn1.out , 7.22       29.14      0.663785325508 ,-105.0580338,-104.3560748,-104.4601397,2.011160487,2.1797,2.545,-2.5173,10.653,1,0,0,0,0
AuTM-108.xyz.1315707.hpc-mn1.out , 26.59      36.78      0.113628747386 ,-29.71096646,-29.58093814,-29.64431382,1.803926952,0.0364,-0.804,2.7361,7.249,1,0,0,0,0
AuTM-109.xyz.1315708.hpc-mn1.out , 6.24       9.94       0.601661512747 ,-122.0717075,-121.4238885,-121.5467352,3.084225735,9.6099,16.5997,24.9156,79.921,1,0,0,0,0
AuTM-110.xyz.1315709.hpc-mn1.out , 4.61       6.89       0.961854232914 ,-251.700562,-250.6537781,-250.8521449,2.748273779,-3.2801,6.0087,-7.0569,24.99,1,0,0,0,0
AuTM-111.xyz.1315710.hpc-mn1.out , 13.68      32.01      0.154248348495 ,-67.70672766,-67.52696863,-67.60564209,1.825220099,-15.921,-16.483,-40.5567,118.403,1,0,0,0,0
AuTM-112.xyz.1315711.hpc-mn1.out , 11.29      12.92      0.569498773402 ,-100.5630057,-99.95542961,-100.0598488,2.963593314,-0.143,2.8492,-0.9931,7.678,1,0,0,0,0
AuTM-113.xyz.1315712.hpc-mn1.out , -4.09      14.16      0.419172918903 ,-65.26357899,-64.81731379,-64.90174968,3.140739359,17.6355,0,3.7608,45.833,1,0,0,0,0
AuTM-114.xyz.1315713.hpc-mn1.out , 61.12      64.67      0.077167861505 ,-19.39931648,-19.3123876,-19.35829914,4.175118563,-2.043,3.0656,-0.0004,9.364,1,0,0,0,0
AuTM-115.xyz.1315714.hpc-mn1.out , 37.80      48.01      0.234458312956 ,-53.96523246,-53.71152915,-53.77759462,2.00495459,20.9576,-5.837,7.8838,58.815,1,0,0,0,0
AuTM-116.xyz.1315715.hpc-mn1.out , -45.41     8.51       0.232373362806 ,-76.87311498,-76.61620128,-76.69437544,2.70628582,0.6997,-5.0194,-1.748,13.626,1,0,0,0,0
AuTM-117.xyz.1315716.hpc-mn1.out , 8.28       12.48      0.531091669716 ,-104.416874,-103.8450437,-103.9571364,2.477673953,-3.3149,1.1216,-0.0828,8.897,1,0,0,0,0
AuTM-118.xyz.1315717.hpc-mn1.out , 21.72      25.30      0.238661503308 ,-54.87327105,-54.61193365,-54.68683379,2.031272081,1.3599,-5.6743,-0.5054,14.887,1,0,0,0,0
AuTM-119.xyz.1315718.hpc-mn1.out , 10.03      24.31      0.258900263370 ,-55.4764719,-55.19700541,-55.26681184,2.06292427,4.0428,1.7357,1.5949,11.895,1,0,0,0,0
AuTM-120.xyz.1315719.hpc-mn1.out , 52.86      63.55      0.110549939153 ,-36.27926696,-36.15621947,-36.20810551,2.482374007,-3.0348,-0.2422,-3.8975,12.571,1,0,0,0,0
AuTM-121.xyz.1315720.hpc-mn1.out , 2.84       9.69       0.510881951850 ,-91.20316033,-90.65422547,-90.76199759,1.13966552,2.4539,-0.9889,2.841,9.867,1,0,0,0,0
AuTM-122.xyz.1315721.hpc-mn1.out , -42.29     -41.84     0.210368730458 ,-50.29022192,-50.06249895,-50.12451779,2.247598672,7.586,25.5538,9.196,71.671,1,0,0,0,0
AuTM-123.xyz.1315722.hpc-mn1.out , 2.63       3.24       0.361578426179 ,-101.7606787,-101.3655854,-101.4640733,1.734220629,-1.4305,0.429,-3.0002,8.518,1,0,0,0,0
AuTM-124.xyz.1315723.hpc-mn1.out , 43.33      57.91      0.203363750751 ,-57.58226545,-57.36122331,-57.42359394,3.470508859,39.1956,9.4174,22.8807,117.815,1,0,0,0,0
AuTM-125.xyz.1315724.hpc-mn1.out , 48.14      49.46      0.078925814903 ,-33.71013899,-33.61850046,-33.67152614,2.418716775,-0.1718,1.9976,3.2731,9.756,1,0,0,0,0
AuTM-126.xyz.1315725.hpc-mn1.out , 10.69      16.33      0.686289996488 ,-130.1642152,-129.4288261,-129.5567799,1.698575852,-0.0016,0.0696,0.9311,2.373,1,0,0,0,0
AuTM-127.xyz.1315726.hpc-mn1.out , 15.79      18.11      0.279086733224 ,-84.92726411,-84.61958156,-84.70563996,1.888012025,-4.1002,-2.169,-0.514,11.862,1,0,0,0,0
AuTM-128.xyz.1315727.hpc-mn1.out , 6.29       15.48      0.573617658490 ,-107.4258877,-106.8116203,-106.9220043,2.391026632,0.479,1.6706,-3.9902,11.062,1,0,0,0,0
AuTM-129.xyz.1315728.hpc-mn1.out , 16.70      27.87      0.456963488086 ,-104.4292981,-103.9335525,-104.0407244,2.821141822,-0.5656,4.7847,-1.4365,12.779,1,0,0,0,0
AuTM-130.xyz.1315729.hpc-mn1.out , 12.72      24.03      0.179301183315 ,-55.16061239,-54.96189272,-55.03057361,3.152877312,0.0884,1.7306,-3.8119,10.643,1,0,0,0,0
AuTM-131.xyz.1315730.hpc-mn1.out , 35.55      41.85      0.254231695989 ,-56.94687269,-56.67142602,-56.74110651,2.95795239,-4.5589,-1.4774,1.1853,12.548,1,0,0,0,0
AuTM-132.xyz.1315731.hpc-mn1.out , 29.13      29.14      0.695105087048 ,-98.8089282,-98.08384774,-98.16884376,4.696639887,3.12,-2.4353,-1.6173,10.868,1,0,0,0,0
AuTM-133.xyz.1315732.hpc-mn1.out , 17.76      22.54      0.223990187225 ,-78.72278428,-78.47143181,-78.55583733,2.350507444,0.7582,2.8172,2.5713,9.884,1,0,0,0,0
AuTM-134.xyz.1315733.hpc-mn1.out , 13.12      25.27      0.168175612292 ,-79.88978164,-79.69437918,-79.77743658,1.949844827,-20.9096,-12.3365,-30.4683,99.021,1,0,0,0,0
AuTM-135.xyz.1315734.hpc-mn1.out , 10.91      24.84      0.365450179903 ,-73.52819583,-73.13380323,-73.22006594,2.940031242,5.1808,1.4404,-0.4659,13.719,1,0,0,0,0
AuTM-136.xyz.1315735.hpc-mn1.out , -15.05     17.77      0.371542736097 ,-77.15550205,-76.75439446,-76.84298384,0.959567175,0.7658,-3.3144,-5.7826,17.053,1,0,0,0,0
